Aktionsname;Aktionsdatum;Durchführendes Konto;Aktionsnummer;Masternummer;Dateiname;Nebenrechnungen
Bearb. Koordinaten Tier;26.05.2021 07:36:00;20;2318;279943;;
Bearb. Playlist;26.05.2021 07:40:00;9;2319;279944;;
Scan div. Radiosender;26.05.2021 08:01:00;58;2320;279946;;
Bearb. Probenplan;26.05.2021 08:47:00;32;2321;279949;;
div. Surfen;26.05.2021 09:40:00;73;2322;279954;;
Scootersuche;26.05.2021 19:04:00;20;2323;279967;;
Anhören RW-Prg. mit Papa;26.05.2021 19:24:00;9;2324;279970;;
Bearb. Playlist;26.05.2021 20:18:00;9;2325;279973;;
Scan div. Radiosender;13.06.2021 06:07:00;58;2617;280896;;
Bearb. Koordinaten Tier;13.06.2021 09:48:00;20;2618;280899;;
Bearb. Playlist;13.06.2021 12:24:00;9;2619;280902;;
div. Surfen;13.06.2021 12:38:00;73;2620;280904;;
Themen für Mittagessen;13.06.2021 13:03:00;31;2621;280914;;
Div. Diskussionen;13.06.2021 14:41:00;31;2622;280916;;
Suche / Fahrt LINK-Scooter (13');13.06.2021 15:39:00;20;2623;280918;;?!
Aufbau Vatertagsfeier;13.06.2021 16:13:00;32;2624;280922;;
Vatertagskonzert;13.06.2021 17:07:00;32;2625;280929;;"21 Titel gespielt; Ges.ausgaben 57,67 + 11,2 + 14,47 = € 83,07 * 2 = € 166,14 - Spaßwert 49,50 = € 116,64 - Direktdeckung  -> Spanne 108,25 bis 125,03 -> Verrechnung € 120,-"
div. Surfen;13.06.2021 19:10:00;73;2626;280930;;
Bearb. Playlist;13.06.2021 19:30:00;9;2627;280934;;
Bearb. Koordinaten Tier;13.06.2021 19:38:00;20;2628;280936;;
Scan div. Radiosender + Livestream;13.06.2021 20:26:00;58;2629;280938;;
Anhören RW-Programm;13.06.2021 21:29:00;9;2630;280940;;
Wunsch Musikwelle;13.06.2021 21:35:00;58;2631;280941;;
Bearbeitung Mails;13.06.2021 21:51:00;73;2632;280945;;
Ansehen YouTube-Videos;13.06.2021 22:24:00;73;2633;280948;;
Posting Zeiten Atariage;13.06.2021 23:35:00;56;2634;280955;;
div. Surfen;14.06.2021 06:33:00;73;2636;280959;;
Scan div. Radiosender / Livestreams;14.06.2021 06:44:00;58;2637;280961;;
Bearb. Koordinaten Tier;14.06.2021 07:28:00;20;2638;280964;;
Ansehen YouTube-Videos;14.06.2021 07:37:00;73;2639;280965;;
Bearb. Playlist;14.06.2021 08:05:00;9;2640;280966;;
Scootersuche;14.06.2021 18:56:00;20;2641;280979;;
Bearb. Playlist;14.06.2021 19:36:00;9;2642;280984;;
Bearb. Koordinaten Tier;14.06.2021 19:37:00;20;2643;280985;;
div. Surfen;14.06.2021 19:48:00;73;2644;280987;;
Anhören RW-Programm;14.06.2021 20:13:00;9;2645;280988;;
Ansehen YouTube-Videos;14.06.2021 20:17:00;73;2646;280989;;
Aufwandserfassung;14.06.2021 21:20:00;31;2647;280992;;
Posting Musikwunsch Jive Aces Green Room;14.06.2021 22:24:00;58;2648;280996;;
Scan div. Livestreams;14.06.2021 22:40:00;58;2649;280997;;
Bearb. Koordinaten Tier;15.06.2021 07:30:00;20;2650;281004;;
Aufwandserfassung;15.06.2021 07:31:00;31;2651;281005;;
div. Surfen;15.06.2021 07:35:00;73;2652;281006;;
Scan div. Radiosender;15.06.2021 08:02:00;58;2653;281007;;
Ansehen YouTube-Videos;15.06.2021 08:49:00;73;2654;281014;;
Scootersuche;15.06.2021 18:56:00;20;2655;281022;;
div. Surfen;15.06.2021 19:36:00;73;2656;281026;;
Bearb. Playlist;15.06.2021 20:03:00;9;2657;281028;;
Ermittlung Gesamtzeit für geplante Projekte;15.06.2021 20:09:00;31;2658;281029;;
Aufwandserfassung;15.06.2021 20:37:00;31;2659;281031;;
Ansehen YouTube-Videos;15.06.2021 22:15:00;73;2660;281035;;
Scan Jivestream;15.06.2021 22:34:00;58;2661;281036;;
Halbmon. Abrechnung;15.06.2021 23:23:00;71;2662;281037;;
Halbmon. Abrechnung Teil 2;15.06.2021 23:24:00;71;2663;281037;;
Div. Surfen;16.06.2021 06:00:00;73;2664;281039;;
Bearb. Playlist / Radiobewertung;16.06.2021 06:22:00;9;2665;281040;;
Scan div. Radiosender;16.06.2021 06:47:00;58;2666;281041;;
Ansehen YouTube-Videos;16.06.2021 09:44:00;73;2667;281054;;
Scan Jason Lux Livestream;16.06.2021 09:58:00;58;2668;281055;;
Bearb. Koordinaten Tier;16.06.2021 10:01:00;20;2669;281056;;
Scootersuche (Manhattan-Bauten);16.06.2021 17:45:00;20;2670;281063;;
Nachspielen unbwertete Titel für Papa;16.06.2021 17:54:00;9;2671;281064;;
Anhören RW-Prg. Mit Papa;16.06.2021 18:01:00;9;2672;281065;;
Ansehen YouTube-Videos;16.06.2021 19:31:00;73;2673;281070;;
MAME Channel F Pac-Man (10') /  Popeye (5') / Jr. Pac-Man (15');16.06.2021 20:26:00;56;2674;281072;;
div. Surfen;16.06.2021 20:57:00;73;2675;281073;;
Aufwandserfassung;16.06.2021 20:59:00;31;2676;281074;;
Bearb. Koordinaten Tier;16.06.2021 22:03:00;20;2677;281075;;
Scan div. Radiosender / Livestreams;16.06.2021 22:14:00;58;2678;281077;;
Einspielen div. Titel;16.06.2021 22:21:00;79;2679;281079;;keine tatsächlich hineingekommen (erst am 25.6.2021)
div. Surfen;17.06.2021 08:02:00;73;2680;281084;;
Ansehen YouTube-Videos;17.06.2021 08:24:00;73;2681;281086;;
Scan div. Radiosender / Livestream;17.06.2021 08:30:00;58;2682;281090;;
Bearb. Playlist;17.06.2021 09:37:00;9;2683;281092;;
Bearb. Koordinaten Tier;17.06.2021 09:45:00;20;2684;281099;;
Scootersuche / -fahrt (LINK 26');17.06.2021 17:05:00;20;2685;281108;;
div. Surfen;17.06.2021 18:25:00;73;2686;281112;;
Anhören RW-Programm mit Papa;17.06.2021 18:38:00;9;2687;281113;;
Bearb. Playlist;17.06.2021 18:46:00;9;2688;281115;;
Bearb. OpenStreetMaps;17.06.2021 18:49:00;73;2689;281119;;
Scan div. Radiosender + Livestream;17.06.2021 18:55:00;58;2690;281120;;
Bearb. Koordinaten Tier;17.06.2021 19:59:00;20;2691;281123;;
Aufwandserfassung;17.06.2021 20:20:00;31;2692;281124;;
MAME Jr. Pac-Man;17.06.2021 21:30:00;56;2693;281125;;
Ansehen YouTube-Videos;17.06.2021 21:41:00;73;2694;281126;;
Bearb. Playlist;18.06.2021 08:28:00;9;2695;281143;;
Scan div. Radiosender / Livestream;18.06.2021 08:36:00;58;2696;281144;;
Aufwandserfassung;18.06.2021 09:15:00;31;2697;281145;;
div. Surfen;18.06.2021 09:19:00;73;2698;281146;;
Ansehen YouTube-Videos;18.06.2021 09:41:00;73;2699;281147;;
Bearb. Koordinaten Tier;18.06.2021 10:08:00;20;2700;281154;;
Auskundschaftung Bauten südlich Siemens-Gelände;18.06.2021 18:34:00;10;2701;281163;;
Rückfahrt mit TIER-Scooter;18.06.2021 18:59:00;20;2702;281164;;
Bearb. Playlist;18.06.2021 19:51:00;9;2703;281168;;
div. Surfen;18.06.2021 19:52:00;73;2704;281169;;
Scan Radio Plattenkiste / Livestreams;18.06.2021 19:58:00;58;2705;281170;;
Bearb. Koordinaten Link;18.06.2021 21:01:00;20;2706;281172;;
Ansehen YouTube-Videos;18.06.2021 21:40:00;73;2707;281175;;
Aufwandserfassung;18.06.2021 22:04:00;31;2708;281177;;
Scan div. Radiosender / Livestream;19.06.2021 05:57:00;58;2709;281186;;
Bearb. auswendige Radioplaylist;19.06.2021 06:35:00;9;2710;281187;;
Lesen Wohnungsabrechnung;19.06.2021 08:17:00;71;2711;281195;;
VG5000 Tortues (31+14');19.06.2021 08:26:00;56;2712;281196;;Philips-Urheberrechtsgebühren werden wg. Austro-Karaoke-CD an Karaoke-Konto umgeleitet
Ansehen YouTube-Videos;19.06.2021 09:11:00;73;2713;281199;;
Bearb. Playlist;19.06.2021 11:04:00;9;2714;281202;;
Untersuchung Rentabilität Tagespässe;19.06.2021 11:27:00;20;2715;281204;;
Bearbeitung Mails;19.06.2021 12:34:00;73;2716;281207;;
div. Surfen;19.06.2021 13:51:00;73;2717;281211;;
Planung;19.06.2021 15:04:00;31;2718;281220;;
Test neue Lime-Scooter / Heimfahrt mit Link-Scooter;19.06.2021 15:50:00;20;2719;281222;;
Anhören RW-Programm mit Papa;19.06.2021 17:25:00;9;2720;281228;;
Bearb. Playlist;19.06.2021 17:48:00;9;2721;281230;;
Aufwandserfassung;19.06.2021 17:57:00;31;2722;281232;;
Bearbeitung Mails;19.06.2021 19:34:00;73;2723;281234;;
Ansehen YouTube-Videos;19.06.2021 19:36:00;73;2724;281235;;
div. Surfen;19.06.2021 20:27:00;73;2725;281236;;
Scan div. Livestreams;19.06.2021 20:56:00;58;2726;281239;;
Bearb. Scooterkoord.;19.06.2021 22:09:00;20;2727;281245;;
Untersuchung Pole Position Track Data;20.06.2021 08:10:00;56;2728;281255;;
Update Window Logger;20.06.2021 08:31:00;31;2729;281257;;
Bearb. Scooterkoordinaten;20.06.2021 08:42:00;20;2730;281261;;
Scan div. Radiosender;20.06.2021 09:12:00;58;2731;281263;;
div. Surfen;20.06.2021 10:08:00;73;2732;281270;;
Bearbeitung Mails;20.06.2021 11:26:00;73;2733;281273;;
Ansehen YouTube-Videos;20.06.2021 11:41:00;73;2734;281277;;
Scan The Jive Aces Livestream;20.06.2021 12:17:00;58;2735;281279;;
Bearb. Playlist;20.06.2021 12:24:00;9;2736;281280;;
Themen für Mittagessen;20.06.2021 12:39:00;31;2737;281284;;
Div. Diskussionen;20.06.2021 14:12:00;31;2738;281288;;
Scootersuche;20.06.2021 15:25:00;20;2739;281290;;
Hilfe Papa Schlauch;20.06.2021 15:39:00;71;2740;281291;;
Reparaturversuch Gartenschlauch;20.06.2021 15:42:00;71;2741;281293;;
Anhören RW-Programm mit Papa;20.06.2021 15:51:00;9;2742;281294;;
div. Surfen;20.06.2021 15:54:00;73;2743;281295;;
Bearb. Playlist;20.06.2021 16:43:00;9;2744;281296;;
Bearb. Scooterkoordinaten;20.06.2021 16:45:00;20;2745;281297;;
Bearbeitung Mails;20.06.2021 17:00:00;73;2746;281298;;
Scan div. Radiosender;20.06.2021 18:04:00;58;2747;281299;;
Wunschabgabe Musikwelle;20.06.2021 20:36:00;58;2748;281311;;
AE / Abr. 8.-10.9.2020;20.06.2021 20:49:00;31;2749;281318;;
Ansehen YouTube-Videos;20.06.2021 22:00:00;73;2750;281320;;
Posting Zeiten Atariage;20.06.2021 23:13:00;56;2751;281324;;
div. Surfen;21.06.2021 07:22:00;73;2752;281328;;
Ansehen YouTube-Videos;21.06.2021 07:29:00;73;2753;281329;;
Scan div. Radiosender / Livestream;21.06.2021 08:00:00;58;2754;281332;;
Bearb. Playlist;21.06.2021 08:34:00;9;2755;281333;;
Bearb. Scooterkoordinaten;21.06.2021 08:36:00;20;2756;281335;;
Ermittlung Gesamtzeit für geplante Projekte;21.06.2021 09:48:00;31;2757;281345;;
Handlung Bettwäsche mit Papa;21.06.2021 19:56:00;71;2758;281360;;Handlung???
Vorführung / Ausprobieren Luftmatratze;21.06.2021 20:01:00;20;2759;281361;;Vorführung??? Welche Matratze?
Anhören RW-Prg. Mit Papa;21.06.2021 20:08:00;9;2760;281362;;
Bearb. Scooterkoordinaten;21.06.2021 20:21:00;20;2761;281367;;
Ansehen YouTube-Videos;21.06.2021 20:27:00;73;2762;281369;;
Aufwandserfassung;21.06.2021 21:33:00;31;2763;281370;;
Bearb. Playlist;21.06.2021 22:18:00;9;2764;281371;;
Scan The Jive Aces Livestream;21.06.2021 22:30:00;58;2765;281375;;
div. Surfen;22.06.2021 07:38:00;73;2766;281379;;
Scan div. Radiosender / Livestream;22.06.2021 07:52:00;58;2767;281380;;
Bearb. Scooterkoordinaten;22.06.2021 09:01:00;20;2769;281383;;
Bearb. Playlist;22.06.2021 09:26:00;9;2770;281386;;
Ansehen YouTube-Videos;22.06.2021 09:33:00;73;2771;281387;;
Posting Jivestream Green Room;22.06.2021 09:51:00;58;2772;281389;;
div. Surfen;22.06.2021 19:21:00;73;2773;281396;;
Ansehen YouTube-Videos;22.06.2021 19:25:00;73;2774;281397;;
Bearb. Scooterkoordinaten;22.06.2021 21:25:00;20;2775;281402;;
Aufwandserfassung;22.06.2021 21:27:00;31;2776;281403;;
Bearb. Playlist;22.06.2021 22:16:00;9;2777;281404;;
Scan div. Livestreams;22.06.2021 22:18:00;58;2778;281405;;
div. Surfen;23.06.2021 07:36:00;73;2779;281409;;
Scan div. Radiosender;23.06.2021 07:38:00;58;2780;281410;;
Einpacken Kass. Für Fahrt;23.06.2021 07:56:00;9;2782;281415;;
Anhören Kass. Kar.gesang (unterwegs);23.06.2021 13:55:00;9;2783;281419;;
Mittagessen (Häuserl am Roan) mit Koll.;23.06.2021 14:00:00;36;2784;281420;;
Boccia mit Kollegen;23.06.2021 14:45:00;36;2785;281421;;
Rest Betriebsausflug (Bierlokal, Herrgott aus Sta);23.06.2021 16:15:00;36;2786;281422;;
Ansehen YouTube-Videos;23.06.2021 21:41:00;73;2787;281425;;
Anhören RW-Programm;23.06.2021 22:05:00;9;2788;281427;;
div. Surfen;24.06.2021 07:32:00;73;2790;281436;;
Versuch Anmeldung Kreditkarte 3D Secure;23.06.2021 22:07:00;20;2789;281428;;
Scan div. Radiosender / Livestream;24.06.2021 08:00:00;58;2791;281439;;
Bearb. Scooterkoordinaten;24.06.2021 08:46:00;20;2792;281440;;Verrechnung Hinfahrt Betriebsausflug: 13,8 km / 22' = € 0,55 * 35,8 = € 19,69 + 6,59 = € 26,28, gerundet € 26,-
Ansehen YouTube-Videos;24.06.2021 08:50:00;73;2793;281442;;
Autoririsierung Kreditkarte für 3D Secure-Zahlungen;24.06.2021 10:18:00;20;2794;281446;;
Bearb. Playlist;24.06.2021 10:41:00;9;2795;281447;;
Versuch Fahrt TIER-Scooter / Entsperren 3D Secure Zahlung;24.06.2021 18:07:00;20;2796;281456;;
Anhören RW-Programm;24.06.2021 18:54:00;9;2797;281458;;
div. Surfen;24.06.2021 18:56:00;73;2798;281459;;
Ansehen YouTube-Videos;24.06.2021 19:14:00;73;2799;281460;;
Bearb. Playlist;24.06.2021 20:29:00;9;2800;281462;;
Bearb. Scooterkoordinaten;24.06.2021 20:52:00;20;2801;281464;;
MAME Jr., Pac-Man;24.06.2021 21:11:00;56;2802;281466;;
AE / Abr. 11.9.2020;24.06.2021 21:29:00;31;2803;281467;;
Scan The Jive Aces Livestream;24.06.2021 22:26:00;58;2804;281469;;
Ablegen Gurgeltest (für Betriebsausflug);21.06.2021 17:43:00;36;2805;281356;;
Anhören RW-Programm;25.06.2021 07:28:00;9;2806;281476;;
Bearb. Scooterkoordinaten;25.06.2021 07:29:00;20;2807;281478;;
Scan div. Radiosender;25.06.2021 07:45:00;58;2808;281481;;
Bearb. auswendige Radioplaylist;25.06.2021 08:12:00;9;2809;281485;;
Freischaltung Klar-App;25.06.2021 08:52:00;20;2810;281489;;
Bearb. Playlist;25.06.2021 08:56:00;9;2811;281491;;
div. Surfen;25.06.2021 09:07:00;73;2812;281492;;
Ansehen YouTube-Videos;25.06.2021 09:17:00;73;2813;281493;;
Scan The Jive Aces Livestream;25.06.2021 09:36:00;58;2814;281494;;
Scootersuche / -Fahrt (28');25.06.2021 16:52:00;20;2815;281501;;
Anhören RW-Programm;25.06.2021 17:34:00;9;2816;281504;;
Ansehen YouTube-Videos;25.06.2021 17:56:00;73;2817;281508;;
MAME Jr. Pac-Man;25.06.2021 19:43:00;56;2818;281510;;
Bearb. Scooterkoordinaten;25.06.2021 20:13:00;20;2819;281511;;
AE / Abr. 12.-13.9.;25.06.2021 20:14:00;31;2820;281512;;
div. Surfen;25.06.2021 21:18:00;73;2821;281513;;
Bearb. Playlist;25.06.2021 21:45:00;9;2822;281515;;
Scan The Jive Aces Livestream;25.06.2021 21:55:00;58;2823;281521;;
Einspielen div. Titel;25.06.2021 22:14:00;79;2824;281523;;
Scan div. Radiosender / Livestreams;26.06.2021 07:50:00;58;2825;281530;;
Ansehen YouTube-Videos;26.06.2021 08:19:00;73;2826;281534;;
Bearb. Playlist;26.06.2021 09:38:00;9;2827;281537;;
div. Surfen;26.06.2021 10:06:00;73;2828;281539;;
Bearb. Playlist;26.06.2021 10:33:00;9;2829;281543;;
MAME Jr. Pac-Man  (40 + 4');26.06.2021 11:10:00;56;2830;281546;;
Bearb. Scooterkoordinaten;26.06.2021 11:50:00;20;2831;281548;;
Bearbeitung Mails;26.06.2021 12:35:00;73;2832;281554;;
Scootersuche / -fahrt (28');26.06.2021 15:10:00;20;2833;281560;;
Anhören RW-Programm mit Papa;26.06.2021 15:39:00;9;2834;281562;;
MAME Jr. Pac-Man;26.06.2021 15:45:00;56;2835;281563;;
div. Surfen;26.06.2021 16:20:00;73;2836;281564;;
Bearb. Playlist;26.06.2021 17:22:00;9;2837;281566;;
Ansehen YouTube-Videos;26.06.2021 17:31:00;73;2838;281567;;
Schlauch anschließen;26.06.2021 19:01:00;71;2839;281570;;
Scan div. Radiosender + Livestreams;26.06.2021 19:03:00;58;2840;281571;;
Aufwandserfassung;26.06.2021 20:05:00;31;2841;281572;;
Bearbeitung Mails;26.06.2021 22:00:00;73;2842;281581;;
div. Surfen;27.06.2021 06:01:00;73;2843;281590;;
Scan div. Radiosender;27.06.2021 06:32:00;58;2844;281591;;
Bearbeitung Mails;27.06.2021 08:14:00;73;2845;281598;;
Bearb. Scooterkoordinaten;27.06.2021 08:52:00;20;2846;281599;;
Bearbeitung Musikumfrage Ö3;27.06.2021 11:26:00;58;2847;281609;;
Ansehen YouTube-Videos;27.06.2021 11:36:00;73;2848;281610;;
MAME Jr. Pac-Man;27.06.2021 11:45:00;56;2849;281612;;
Bearb. Playlist;27.06.2021 12:07:00;9;2850;281615;;
Themen für Mittagessen;27.06.2021 12:45:00;31;2851;281618;;
Div. Diskussionen;27.06.2021 14:01:00;31;2852;281623;;
Scootersuche;27.06.2021 15:51:00;20;2853;281625;;
div. Surfen;27.06.2021 16:26:00;73;2854;281628;;
Bearb. Playlist;27.06.2021 17:07:00;9;2855;281629;;
Bearb. Scooterkoordinaten;27.06.2021 17:25:00;20;2856;281636;;
Lesen Postings 88.6;27.06.2021 17:28:00;58;2857;281638;;
Wunschaufgabe Musikwelle;27.06.2021 17:49:00;58;2858;281639;;
AE / Abr. 14.-15.9.2020 / Halbmon.;27.06.2021 17:53:00;31;2859;281640;;
Scan div. Radiosender;27.06.2021 19:34:00;58;2860;281642;;
Ansehen YouTube-Videos;27.06.2021 21:24:00;73;2861;281643;;
Posting Zeiten Atariage;27.06.2021 23:04:00;56;2862;281656;;
div. Surfen;28.06.2021 07:40:00;73;2863;281659;;
Ansehen YouTube-Videos;28.06.2021 07:50:00;73;2864;281660;;
Scan div. Radiosender + Livestream;28.06.2021 08:28:00;58;2865;281662;;
Bearb. Scooterkoordinaten;28.06.2021 08:42:00;20;2866;281665;;
Bearb. Playlist;28.06.2021 08:45:00;9;2867;281669;;
Ermittlung Gesamtzeit für geplante Projekte;28.06.2021 08:55:00;31;2868;281671;;
Div. Surfen;28.06.2021 19:14:00;73;2869;281685;;
AE / Abr. 16.-17.9.2020;28.06.2021 19:42:00;31;2870;281687;;
Ansehen YouTube-Videos;28.06.2021 20:58:00;73;2871;281688;;
MAME Jr. Pac-Man;28.06.2021 22:02:00;56;2872;281692;;
Bearb. Scooterkoordinaten;28.06.2021 22:09:00;20;2873;281693;;
Scan The Jive Aces Livestream;28.06.2021 22:24:00;58;2874;281698;;
Bearb. Playlist;28.06.2021 22:36:00;9;2875;281699;;
div. Surfen;29.06.2021 07:35:00;73;2876;281705;;
Scan div. Radiosender;29.06.2021 07:43:00;58;2877;281706;;
Bearb. Playlist;29.06.2021 09:15:00;9;2878;281714;;
Scootersuche;29.06.2021 19:11:00;20;2879;281723;;
div. Surfen;29.06.2021 20:01:00;73;2880;281726;;
Ansehen YouTube-Videos;29.06.2021 20:04:00;73;2881;281727;;
Anhören RW-Programm mit Papa;29.06.2021 20:48:00;9;2882;281729;;
AE / Abr. 18.-20.9.2020;29.06.2021 21:19:00;31;2883;281733;;
Scan The Jive Aces Livestream;29.06.2021 22:23:00;58;2884;281735;;
Bearb. Playlist;29.06.2021 22:29:00;9;2885;281737;;
Einkurbeln Markisen;29.06.2021 22:33:00;71;2886;281738;;
div. Surfen;30.06.2021 07:29:00;73;2887;281744;;
Scan div. Radiosender;30.06.2021 07:40:00;58;2888;281747;;
Bearb. Playlist;30.06.2021 09:06:00;9;2889;281751;;
Plaudern mit Xandi's Schwester;30.06.2021 17:22:00;56;2890;281762;;
div. Surfen;30.06.2021 17:44:00;73;2891;281765;;
Ansehen YouTube-Videos;30.06.2021 17:50:00;73;2892;281766;;
MAME Jr. Pac-Man (11' + 17' + 14');30.06.2021 18:56:00;56;2893;281767;;
Scan div. Livestreams;30.06.2021 19:38:00;58;2894;281769;;
Bearb. Playlist;30.06.2021 20:37:00;9;2895;281771;;
Erstellung Programm für Teamgrillen;30.06.2021 20:46:00;32;2896;281773;;
AE / Abr. 20.-24.9.2020;30.06.2021 21:20:00;31;2897;281777;;
Bearb. Scooterkoordinaten;30.06.2021 22:34:00;20;2898;281779;;
Verbuchung Eltern-Gebühren;30.06.2021 23:16:00;38;2899;281789;;
Verrechnung Nebenkosten BRZ;30.06.2021 23:17:00;36;2900;281789;;
Quartalsabrechnung;30.06.2021 22:45:00;31;2901;281790;;
div. Surfen;01.07.2021 07:50:00;73;2902;281792;;
Ansehen YouTube-Videos;01.07.2021 07:59:00;73;2903;281793;;
Scan div. Radiosender;01.07.2021 08:07:00;58;2904;281795;;
Bearb. Scooterkoordinaten;01.07.2021 09:09:00;20;2905;281800;;
Planung;01.07.2021 09:13:00;31;2906;281805;;
Bearb. Playlist;01.07.2021 09:18:00;9;2907;281807;;
Bearb. Bewertung der Dokumentationen;06.01.2021 10:39:00;31;104;272768;;
Eingabe LP's;06.01.2021 10:55:00;9;105;272770;;
Scan div. Radiosender;06.01.2021 11:44:00;58;106;272773;;
div. Surfen;06.01.2021 12:14:00;73;107;272774;;
Vorbereitung Christbaumverabschiedung;06.01.2021 12:38:00;32;108;272779;;
Mail an Hrn. Broich (TIER);06.01.2021 12:43:00;20;109;272780;;
Christbaumverabschiedung (mit Papa);06.01.2021 15:00:00;32;110;272784;;keine Ahnung mehr, wie das abgelaufen ist...
div. Surfen;06.01.2021 17:14:00;73;111;272788;;
Scan Radio Plattenkiste;06.01.2021 17:38:00;58;112;272790;;
Bearb. Koordinaten Tier;06.01.2021 18:47:00;20;113;272791;;
Bearbeitung PSR-60 ROM Disassembly 1;06.01.2021 19:11:00;32;114;272793;;
Wunsch Plattenkiste;06.01.2021 19:21:00;58;115;272794;;
Mail Pirni Prg. Silvesterparty;06.01.2021 19:34:00;58;116;272795;;
Bearb. Playlist;06.01.2021 20:31:00;9;117;272796;;
Ansehen YouTube-Videos;06.01.2021 21:45:00;73;118;272805;;
Ansehen ZiB 1;06.01.2021 22:01:00;58;119;272806;;
Aufwandserfassung;06.01.2021 22:03:00;31;120;272808;;
Scan div. Radiosender;07.01.2021 07:39:00;58;121;272816;;
Bearbeitung PSR-60 ROM Disassembly 1;07.01.2021 08:26:00;32;122;272820;;
Bearb. Koordinaten Tier;07.01.2021 09:13:00;20;123;272824;;
div. Surfen;07.01.2021 09:19:00;73;124;272826;;
Bearbeitung Mails;07.01.2021 09:47:00;73;125;272830;;
Scootersuche (Spital Nord);07.01.2021 18:45:00;20;126;272840;;
Anhören RW-Programm (mit Papa);07.01.2021 18:58:00;9;127;272844;;
Bearbeitung PSR-60 ROM Disassembly 1;07.01.2021 19:18:00;32;128;272847;;
div. Surfen;07.01.2021 19:45:00;73;129;272848;;
Ansehen YouTube-Videos;07.01.2021 19:48:00;73;130;272849;;
Ansehen ZiB 1;07.01.2021 20:49:00;58;131;272850;;
Stella Oystron (13') / Mario Bros. (17');07.01.2021 20:53:00;56;132;272851;;
Bearb. Koordinaten Tier;07.01.2021 21:23:00;20;133;272852;;
Aufwandserfassung;07.01.2021 21:28:00;31;134;272853;;
div. Surfen;08.01.2021 08:09:00;73;135;272862;;
Scan div. Radiosender;08.01.2021 08:18:00;58;136;272863;;
Bearb. Koordinaten Tier;08.01.2021 08:36:00;20;137;272866;;
Bearbeitung PSR-60 ROM Disassembly 1;08.01.2021 08:43:00;32;138;272868;;
Bearb. Zeitrückstand;08.01.2021 09:33:00;31;139;272872;;
Scootersuche;08.01.2021 18:50:00;20;140;272883;;
div. Surfen;08.01.2021 19:02:00;73;141;272887;;
Ansehen YouTube-Videos;08.01.2021 19:04:00;73;142;272888;;
Bearb. Koordinaten Tier;08.01.2021 19:32:00;20;143;272889;;
Bearbeitung PSR-60 ROM Disassembly;08.01.2021 19:43:00;32;144;272890;;
Ansehen Fernsehsendungen;08.01.2021 21:02:00;58;145;272891;;
Aufwandserfassung;08.01.2021 21:57:00;31;146;272896;;
Scan div. Radiosender;09.01.2021 06:17:00;58;147;272903;;
Bearbeitung PSR-60 ROM Disassembly 1;09.01.2021 07:04:00;32;148;272905;;
Bearb. Playlist;09.01.2021 11:36:00;9;149;272910;;
Ansehen YouTube-Videos;09.01.2021 11:42:00;73;150;272912;;
div. Surfen;09.01.2021 13:10:00;73;151;272918;;
Bearb. Koordinaten Tier;09.01.2021 14:06:00;20;152;272920;;
Bearbeitung Mails;09.01.2021 14:08:00;73;153;272921;;
Einrichtung Lichterkette;09.01.2021 15:39:00;71;154;272932;;
Hinunterbringen schwarze Stellage;09.01.2021 15:42:00;71;155;272934;;
Scootersuche;09.01.2021 16:44:00;20;156;272936;;
Scan div. Radiosender;09.01.2021 16:59:00;58;157;272943;;
Bearb. Playlist;09.01.2021 18:12:00;9;158;272951;;
Ansehen YouTube-Videos;09.01.2021 18:20:00;73;159;272952;;
Bearb. Koordinaten Tier;09.01.2021 18:33:00;20;160;272953;;
Untersuchung Playcard-Format;09.01.2021 18:35:00;32;161;272954;;
Wunschanruf Plattenkiste;09.01.2021 21:38:00;58;162;272955;;
Ansehen ZiB 1;09.01.2021 21:47:00;58;163;272956;;
Aufwandserfassung;09.01.2021 21:51:00;31;164;272957;;
div. Surfen;09.01.2021 22:15:00;73;165;272964;;
Mail Plattenkiste Unchained melody;09.01.2021 22:29:00;58;166;272973;;
Scan div. Radiosender;10.01.2021 06:01:00;58;167;272979;;
Bearbeitung Mails;10.01.2021 07:16:00;73;168;272985;;
Reverse Engineering Playcard;10.01.2021 09:10:00;32;169;272993;;
Bearb. Playlist;10.01.2021 10:59:00;9;170;272995;;
Aufwandserfassung;10.01.2021 11:04:00;31;171;272997;;
Eingabe LP's;10.01.2021 11:23:00;9;172;272999;;
Ansehen YouTube-Videos;10.01.2021 12:34:00;73;173;273002;;
Aufräumen;10.01.2021 12:55:00;71;174;273007;;
Eingabe gehörte Weihnachtskassette 1992;10.01.2021 12:58:00;9;175;273008;;
Bearb. Koordinaten Tier;10.01.2021 14:19:00;20;176;273013;;
Scootersuche;10.01.2021 15:21:00;20;177;273018;;
Ansehen YouTube-Videos;10.01.2021 15:38:00;73;178;273021;;
Reverse Engineering Yamaha Playcard;10.01.2021 15:47:00;32;179;273022;;
div. Surfen;10.01.2021 18:38:00;73;180;273029;;
Korr. Window Logger;10.01.2021 18:55:00;31;181;273032;;
Papa heimführen;10.01.2021 19:22:00;38;182;273033;;
Bearb. Koordinaten Tier;10.01.2021 19:57:00;20;183;273035;;
Aufwandserfassung;10.01.2021 20:02:00;31;184;273041;;
Scan div. Radiosender;10.01.2021 20:57:00;58;185;273042;;
Ansehen ZiB 1;10.01.2021 22:15:00;58;186;273048;;
