Code;Quelle;Aktivitätsname;Vorschlag_Code;Parent;Parent Code;Kommentar
LEMTFR;MTL;Frühstücken, dabei Vorbereitung Candeblo, Tee machen, Bearb. Werbeprospekte, Prüfung Terrasse
LEMTFR;MTL;Frühstücken, dabei Vorbereitung Candeblo, Tee machen, Einpacken für BRZ
LEMTFR;Learned;Frühstücken, dabei Vorbereitung Candeblo, Tee machen, Einpacken Schwimmbad

LEMTFS;Learned;Frühstücken, dabei Vorbereitung Candeblo, Tee machen, Bearb. Werbeprospekte
LEMTFS;Learned;Frühstücken, dabei Vorbereitung Candeblo, Tee machen, Einpacken für BRZ

LEMTHW;MTL;Häferl waschen
LEMTHW;MTL;Häferl waschen / Hustenbonbon fassen
LEMTHW;MTL;Häferl waschen, Hustenbonbon fassen
LEMTHW;Learned;Hustenbonbon fassen

LEMTJF;MTL;Jause fassen
LEMTJF;MTL;Kokosmilch Drink fassen
LEMTJF;Learned;Getränk fassen

LEMTRA;MTL;Rasieren, dabei Planung
LEMTRA;MTL;Rasieren, dabei Planung (C#-Programm)
LEMTRA;MTL;Rasieren, dabei Planung (C#-Programm), Bearb. Ohrwürmer (durchgenommen)
LEMTRA;MTL;Rasieren, dabei div. Surfen, Bearb. Essensplan
LEMTRA;Learned;Rasieren, dabei Planung (Auswertung Planung gestern), div. Surfen (News), Bearb. Ohrwürmer (durchgenommen)
LEMTRA;Learned;Rasieren, dabei Planung (Reaktiver Planer), Untersuchung Andon FM
LEMTRA;Learned;Rasieren, dabei Planung + Vortagesreview (Reaktiver Planer)
LEMTRA;Learned;Rasieren, dabei Planung + Vortagesreview (Reaktiver Planer), Bearb. Ohrwürmer (durchgenommen)
LEMTRA;Learned;Rasieren, dabei Planung + Vortagesreview (Reaktiver Planer), div. Surfen inkl. Andon FM
LEMTRA;Learned;Rasieren, dabei Planung / Tagesreview (Reaktiver Planer), Bearb. Ohrwürmer (durchgenommen)

LEMTTW;MTL;Cashews fassen
LEMTTW;MTL;Doppelkeks fassen
LEMTTW;MTL;Getränk fassen
LEMTTW;MTL;Mund spülen / Teller waschen / Getränk fassen
LEMTTW;MTL;Nachtmahl
LEMTTW;MTL;Soja-Drink fassen
LEMTTW;MTL;Teller waschen / Getränk fassen
